Tweets,HS
العمل مساله غيره فنيه,0
المعيار والمقياس للحكم الله رسول الله مجلس الامن والامم المتحده,0
تركيا دوله مسلمه منت بقد افعالها ومعاركها وانتصارتها انتو حدكم عرعر تحفطون ورا الكلاب السلق ياكلاب الصج ركضتوا السودان وبعدين البتان يحمونكم خلكم زقكم ابو فهد الاستخراء انتو منتوا بكفوا تحاربون ايران تركيا انتو حوثين اربع سنين ماقدرتوا,1
والله اهدا,0
يباله شان يرد عقله شوي,0
بلاد التوحيد بلادنا والدفاع اولويتنا اللهم انصر جيشنا الجزائري وجيشنا السعودي فهما رباط شاء الله موتوا بغيظكم خوان مفلسين كلما طلع قرن قطع,1
سعود يهود الوعد الوعد شهداء القطيف لعن اله سعود,1
والله ليتني بامزح ابالغ للاسف المدارس الحكوميه ملياااااانه مدرسات بامراض نفسيه ارذل الخلق وجع اشكالهم احس امكن كانو يعذبونا لان البنت عادي ضعيفه وتسكت الابتدائي ابويا اضطر يتصل المدرسه مرات عشان يشتكي ويقولهم خير,1
مناديب مرسول يطالبون مباشر للعملاء وباعجاب واحنا لاحياه لمن تنادي,0
شاء لله نجلد صغار جده الطحالب روائح البيارات,1
واكثر اللي خرفان,0
والامامو كلاب اربتعش اذار بدن شباب حركه امل,1
مهجوره اربع سنه اريد قيودي شيء اسمه خلع اخلعيه وارتاحي الظلم والله الحريم شيء يقتل قسما اني مكانك يتربي تربيه تربها اهله,1
بايع الكليجا اقسم بالله البنات هالايام مصاختهم زايده وذره حيا ماعندهم انا اتبرا هالفئه,1
ذنب مصر تركيا اوسخ البشر انتم وقطر الوسخه وايران الزباله عبيد لاسراءيل اخذكم اله اخذ عزيز مقتدر يارب العالمين امين,1
مدري نفتك ورعنه اصاحب المنتاجات والله مسلسل تركي المقاطع عيييييييييييييييب عييييييييييييييييييب تادبو,1
مره عندي امتحان ماث اتوتر الموضوع مخوفني,0
فشلونا حسبي الله عليهم بنات ترا محنا كلنا هاذي عينه تعبانه وين الحياء الرجال استحي وهم وتصوير وغزل عيني عينك الله ياخذهن,1
خللااااااااص تكفون لاتنشرون صوره,0
غلط واكبر غلط البكاء الرجل,0
خسءتم مداخله كلاب اهل الدنيا,1
وايك تحط صرمايه عتيقه بنص حنكك انت كمان حدا خائن سلاله القرود الاسديه باعو البلد للصهيوني والايراني المجوسي,1
هههههه اغمس شوشتك بداله هالفلوس وفطور شابوره,0
عيلاء متعصب انت واخد بتاخد طول الجريشه والبنا ولو راجل بقي خلي كلب النظام الخطيب يطالب بحكام اجانب لكل ماتشتا الدوري ولزمالك ولبيرميدز وشوف الاهلي هيخلص المركز الكام,1
اله يطلع عينكم انت ومصر كلها حلبي حاقد والسيسي تاني يقعد ليكم كدا سنه يقتلكم ويعذبكم شاء اله الامن المركزي السيسي بقبضك ويعذبك لحدي يشلوك يسبو ليك عاه مستديمه حلبي معفن انت,1
جهنم اعداء الاسلام خونه عملاء ولاءكم لعجم وايران,1
ابوصلاح الجاكي الحشاء الحبيلين ومنها العند يدوم بقاءكم الجنوب ابناء زايد حثاله الاعراب ويا رموز الدعاره الحسم قادمون العام الخامس,1
طررررب,0
واكرهه تعلق اغنيه بمخي,0
والله عيب,0
بخيل,0
واحب اقول لرائد محمد الحارثي ماجد معهم محمد عظيم القائمه شديده السواد لمقاطعتهم الجلسه النادره ولن يتم الصفح عنكم,0
هذولا شريحه مجتمعنا اتمني ربي يهديهم يمحيهم قرف الله يقرفهم مشافيح ماعمرهم شافوا خير يعععععع,1
يعلم حروبك الداخليه خضتها بينك نفسك لتصبح البرود,0
ايه محفووظ احنا هنبتدي ايه وانت طيب تسلملي,0
كنت دايما اسال الاتنين هدول اندمجوا قلت اجربها وياريت جربتها زدت كيلو وراها,0
الهندي قاعد يثبت للمعز الخروف صديقه يذبحه بابا خلي خاروف مسكين,1
انتم خقيتوا بنت ترامب وعادي حنا نخق بايع الكليجا الله لايجزاه خير جاب هالفكره والمقارنه المغلوطه والله ماتقولها صايعه تبرر فسادها تدربي راسها حياك وحشمتك وعفتك لايستفزها وقبل تذكري ربك بيحاسبك,1
بيروت عزيزتي هودي ابواق فارغه وراءهم الغرب واميركا وملكه الاءجرام الوهابيه والجهل وبن مالك ومصالح تعصب ولكنهم مدعومون امثال ريفي ودريان والرافعي وهم حميعا يقبضون الخليج تاءمره اميركا الحل,1
مرره بثرين,1
منجد الرجال يدعون المثاليه ويستشرف علينا ومافي اخبث منهم المشكله بعضهم متزوجين وواحد جدي مايستحون عمرهم,1
عادي اشوف بدور اشي وانا بعرف مكانه جاي بالي احكي,0
تشككني بنفسي الذيب,0
مقزز عجزت اكمل مااقبح الجهل,0
بنات الرياض طاحوا عيني,1
شكله ناسي الضفدع كاس ولي العهد,1
حركات كفار,1
تفوز الفئه الشباب اللي يتغزلون بمشهورات الخرفان البنات اللي يتغزلون بشباب مقزز الفئه الاكثر حومه كبد بعالم الانترنت,1
والله يقهر الناس هذي خسرانه حطتها بكيس واقرب ازباله الوصخ وصخ,1
منظر مقرف تلقي شخص يدعي اهل السنه يمجد الحوثي قتل اهل السنه باليمن,1
ياشيخ شعيب وشعراته صابغهم يركب,0
بايع الكليجا مؤسف الانحطاط وقله الادب وصلوا البعض والله عيب معقوله مايعرفون حاجه اسمها,0
للاسف اغلب معنفين الهشتاق الكادر التعليمي معلمين ومعلمات ياخساره التعليم فيكم افضح معنفك,1
اقرا التاريخ ياطحلب لاتتكلم اسيادك,1
دبا,0
لعين وذليل بمؤتمر الرياض يتلزق,0
الشعوب العربيه اصبحت واعيه كفايه كذب وخير دليل ضرب سفيركم,1
صباحكم سعاده لمن استنشق رائحه القهوه سيده الاوقات تعرف تعاقب عشاقها نسوها تعلم القهوه تغير المزاج لحظه تسرق اللهفه بفنجان تبدد القلق برشفات هادئه تستمتع باللحظه يجب,0
عملاء الصهاينه العسكر الجدد الخسيسي يستعمل مطارات العدو الصهيوني لقتل ابناء شعبه عجز الصهاينه وهروبهم ساحات القتال شجع الخونه قتل شعوبهم بالنيابه عنهم,1
عهدالعلوج عهدفاشل استغفر الله امثالكم,1
كلكم سوا انت والبنات اللي صوروه كلكم وصخين وماتستحون اساس البنات سبوكم وانتو مساكين ماسويتو حتي انتو تفشلون,1
بالفيديو كله المهم,0
دخيل الله داشه صراحه وتقول اغلب تويتاتج هالقلب بابا شوفي عدل اطرش هالقلب واتمني قلبي لاشوف وحده اطرش قمت انزل صراحه منكم,0
اقسم بالله انا سايب الفيس تكرار البوستات وافوره البنات ومحن الكلاب ملقيهوش بردو,1
نيم قيم حقه بروحه عبدالله الهيدر صديقي الصدوق حبوب غثيث يحب ياكل جدام وبس والله اللهيحفظك,0
