Tweets,OFF
انك طاقع اصرف هالتغريده اللي وجهك,1
الحزبي يقول تدعمون الدول العربيه يحكمها العسكر البسطار العسكري العسكري اشرف,1
بعرف وحده جاينهم تعارف مشت كتبت الفيس اتخطبت وباركلو يومين الموضوع فرتق,0
ايه اللي صعب ياعنياا انتي ضحكتك فضحاناا المنطقه,1
تنافس البنات اللي خقوا بالتفاهه,1
فشلتونا يابنات يشوف يقول ماشافو زين عيب عيب والله بايع الكليجا,1
ههههههههههههههههههههههههههه,0
عليتس ماتفزعين تكركر,0
طابور الشهر العقاري طابور قدام طابور بلد كلها طوابير,0
عندي سنابي,0
انتو ملاحظين فتره مهببين بالهنديه والحين بالكليجا ياربي هالشعب عنده شغله شاغل فشلونا,1
والشنطه الله يقلعه,1
نور الدايركت,0
سعد الحريري حرامي يحاضر بالشرف,1
ناس معينه بشوفها تعملي لايك كومنت بحس براحه نفسيه جوايا يلا اعمل لايك كومنت منهم المحترم,0
بلاش الثقه الزايده الناس اللي حواليك لازم تتوقع حاجه اقرب ليك,0
حسبي الله واحده قالتلي ضوافرك حلوه,0
مستحيل سييرا استلم انمار الحائلي احمد كعكي عيال الخيمه سييرا نواف المقيرن طرد سييرا ينجلد الكلب البلوي جمجوم سييرا احمر,1
بايخه كنت اقصد شلون تعرفون لان مايصير انتبه التليفون الشارع هديه اهد بطنش,0
انا مدعي ادعيله شان اصحاب الكهف,0
الشين مكياجه باريس وزين زين يسرح الهوش,0
قبيح الوجه قبيح الكلام اقول لكل قذر معفن مثلك الخلا حفيد مسيلمه نقول يقول التاريخ يقول ءجيب فيديو بكل تاكيد تقرا التاريخ تاريخ جدك مسيلمه يقول اوحي قران قران محمد المصطفي الهاشمي عما الدحديره سفير مسيلمه,1
موظفين ولاد الوسخه,1
انتي كلبه فصيله ناااااادره وابنه سقط القوم وخائنها ابنه اضعف الاسلام والمسلمين وابنه تامر الخبثا,1
نظام يدافع عنهم عشان يشبك,0
حسبنا الله الوكيل المتخاذلين اينما كانوا,1
مساكين وضيعين ابوي جالس يشرح الفرق انواع الموسيقي البوب والروك والكلاسيكيه القديمه الخ محد فيكم ابوه عبقري كول ابوي وضيعين مساكين,1
بايع الكليجا ياوجه الله غمزه لكليجا شعب خفيف يهب,1
التايم كله صيدله نجحت تجاره هتنجح,0
,0
الرخص المحنه صايرهه,1
